Area,Bibliometric?,Level,Precision,Recall,F-measure
01,B,I,0.716,0.760,0.737
02,B,I,0.598,0.722,0.654
03,B,I,0.630,0.653,0.641
04,B,I,0.730,0.794,0.760
05,B,I,0.679,0.773,0.723
06,B,I,0.709,0.825,0.762
07,B,I,0.634,0.606,0.620
08,B,I,0.754,0.812,0.782
08-NB,NB,I,0.778,0.789,0.783
09,B,I,0.791,0.743,0.767
10,NB,I,0.760,0.652,0.702
11,NB,I,0.785,0.751,0.768
11/E,B,I,0.860,0.882,0.871
12,NB,I,0.747,0.766,0.757
13,NB,I,0.648,0.695,0.670
14,NB,I,0.777,0.824,0.800
01,B,II,0.692,0.753,0.721
02,B,II,0.629,0.635,0.632
03,B,II,0.700,0.681,0.690
04,B,II,0.694,0.800,0.743
05,B,II,0.705,0.839,0.766
06,B,II,0.736,0.855,0.791
07,B,II,0.686,0.709,0.697
08,B,II,0.768,0.794,0.781
08-NB,NB,II,0.810,0.850,0.829
09,B,II,0.777,0.854,0.814
10,NB,II,0.698,0.834,0.760
11,NB,II,0.731,0.863,0.792
11/E,B,II,0.769,0.872,0.817
12,NB,II,0.779,0.820,0.799
13,NB,II,0.685,0.736,0.710
14,NB,II,0.775,0.877,0.823
